,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
500,BRATS_20329.nii.gz,0.8799,0.8708,0.8983,1.0,1.0,1.0
501,BRATS_20339.nii.gz,0.8423,0.8457,0.0,1.0,1.0,373.129
502,BRATS_20340.nii.gz,0.8485,0.8503,0.0,1.0,1.0,373.129
503,BRATS_20343.nii.gz,0.804,0.8013,1.0,1.0,1.0,0.0
504,BRATS_20496.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
505,BRATS_20498.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
506,BRATS_20512.nii.gz,0.9125,0.9096,1.0,1.0,1.0,0.0
507,BRATS_20513.nii.gz,0.9138,0.9138,1.0,1.0,1.0,0.0
508,BRATS_20666.nii.gz,0.9392,0.9064,0.7657,1.0,1.0,2.0
509,BRATS_20669.nii.gz,0.932,0.9159,0.8235,1.0,1.0,1.736
510,BRATS_20674.nii.gz,0.8949,0.8949,1.0,1.0,1.0,0.0
511,BRATS_20678.nii.gz,0.9001,0.9001,1.0,1.0,1.0,0.0
512,BRATS_20838.nii.gz,0.952,0.9501,0.9236,0.0,0.0,1.0
513,BRATS_20843.nii.gz,0.9149,0.914,0.967,1.0,1.0,0.0
514,BRATS_20847.nii.gz,0.9091,0.9068,0.9496,1.0,1.0,0.2
515,BRATS_20849.nii.gz,0.9085,0.9035,0.9379,1.0,1.0,1.0
516,BRATS_21009.nii.gz,0.9218,0.921,1.0,1.0,1.0,0.0
517,BRATS_21017.nii.gz,0.8458,0.8532,0.9,1.4140000000000001,1.4140000000000001,1.0
518,BRATS_21018.nii.gz,0.867,0.8758,0.9474,1.4140000000000001,1.4140000000000001,0.15
519,BRATS_21348.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
520,BRATS_21515.nii.gz,0.9574,0.8975,0.8784,0.0,1.0,1.0
521,BRATS_21676.nii.gz,0.7748,0.8107,0.7771,4.0,1.766,3.3
522,BRATS_21679.nii.gz,0.8545,0.8,0.7977,1.4140000000000001,1.4140000000000001,1.4140000000000001
523,BRATS_21681.nii.gz,0.9323,0.8315,0.8341,1.0,1.0,1.0
524,BRATS_21688.nii.gz,0.9445,0.861,0.8626,1.0,1.0,1.0
525,BRATS_21690.nii.gz,0.94,0.8462,0.8232,1.0,1.0,1.0
526,BRATS_21842.nii.gz,0.5455,0.5455,0.0,3.0,3.0,373.129
527,BRATS_21854.nii.gz,0.9048,0.8973,0.5882,1.0,1.0,4.085
528,BRATS_21857.nii.gz,0.9189,0.9071,0.9111,1.0,1.0,1.0
529,BRATS_22011.nii.gz,0.9279,0.8963,0.8775,1.0,1.0,1.0
530,BRATS_22020.nii.gz,0.8607,0.8274,0.8125,1.4140000000000001,2.0,2.2359999999999998
531,BRATS_22021.nii.gz,0.8626,0.8272,0.8621,2.983,4.4719999999999995,1.0
532,BRATS_22025.nii.gz,0.8875,0.8608,0.8745,1.0,1.0,1.0
533,BRATS_22027.nii.gz,0.8631,0.8341,0.8843,1.0,1.0,1.0
534,BRATS_22181.nii.gz,0.7105,0.6933,1.0,3.6060000000000003,3.6060000000000003,0.0
535,BRATS_22350.nii.gz,0.9057,0.8632,0.8609,1.0,1.0,1.0
536,BRATS_22351.nii.gz,0.9202,0.8846,0.8717,1.0,1.0,1.0
537,BRATS_22361.nii.gz,0.9552,0.9031,0.9074,0.0,1.0,1.0
538,BRATS_22363.nii.gz,0.9563,0.9085,0.9019,0.0,1.0,1.0
539,BRATS_22512.nii.gz,0.9141,0.8559,0.0,1.0,1.0,373.129
540,BRATS_22520.nii.gz,0.9458,0.8658,0.8386,1.0,1.0,1.4140000000000001
541,BRATS_22524.nii.gz,0.9583,0.9131,0.9262,0.0,1.0,1.0
542,BRATS_22530.nii.gz,0.958,0.9112,0.937,0.0,1.0,1.0
543,BRATS_22680.nii.gz,0.9608,0.909,0.9034,0.0,1.0,1.0
544,BRATS_22681.nii.gz,0.9667,0.9123,0.9065,0.0,1.0,1.0
545,BRATS_22697.nii.gz,0.9548,0.9042,0.9061,0.0,1.0,1.0
546,BRATS_22850.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
547,BRATS_22852.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
548,BRATS_22858.nii.gz,0.2222,0.2353,1.0,3.0410000000000004,3.0,0.0
549,BRATS_22863.nii.gz,0.9274,0.9274,1.0,1.0,1.0,0.0
550,BRATS_22866.nii.gz,0.9452,0.9452,1.0,1.0,1.0,0.0
551,BRATS_23018.nii.gz,0.9077,0.8806,0.9766,1.0,1.0,0.0
552,BRATS_23026.nii.gz,0.9103,0.8866,0.961,1.0,1.0,0.0
553,BRATS_23029.nii.gz,0.8881,0.8663,0.9742,1.4140000000000001,2.0,0.0
554,BRATS_23033.nii.gz,0.879,0.8585,0.9673,1.0,1.4140000000000001,0.0
555,BRATS_23035.nii.gz,0.8577,0.8459,0.9448,1.4140000000000001,1.4140000000000001,1.0
